,어종,산지,규격,포장,수량,중량,낙찰고가,낙찰저가,평균가,일시
0,(선)삼치,감포,16미,S/P,32,8,"7,000","7,000","7,000",2008.01.02
1,(선)삼치,부산(기장),중,box,5,10,"30,000","30,000","30,000",2008.01.02
2,(선)삼치,통영,중,S/P,5,8,"25,000","25,000","25,000",2008.01.02
3,(선)삼치,부산(기장),18미,S/P,2,8,"5,000","5,000","5,000",2008.01.02
4,(선)삼치,여수,08미,S/P,90,8,"9,000","9,000","9,000",2008.01.02
5,(선)삼치,감포,10미,S/P,13,8,"10,000","10,000","10,000",2008.01.02
6,(선)삼치,포항,12미,S/P,50,8,"10,000","10,000","10,000",2008.01.02
7,(선)삼치,여수,중,c/s(상자),108,8,"9,000","9,000","9,000",2008.01.02
8,(선)삼치,통영,10미,S/P,503,8,"13,000","13,000","13,000",2008.01.02
9,(선)삼치,부산(기장),10미,S/P,54,8,"13,000","13,000","13,000",2008.01.02
10,(냉)삼치,부산(기장),4단,box,16,15,"15,000","15,000","15,000",2008.01.02
11,(냉)삼치,마산,2단,c/s(상자),750,20,"25,000","25,000","25,000",2008.01.02
12,(냉)삼치,마산,3단,c/s(상자),300,20,"15,000","15,000","15,000",2008.01.02
13,(냉)삼치,부산(기장),3단,box,70,15,"22,000","22,000","22,000",2008.01.02
14,(냉)삼치,부산(기장),20미,CT/(BT),3,15,"40,000","40,000","40,000",2008.01.02
15,(선)줄삼치,부산(기장),03미,S/P,13,8,"10,000","10,000","10,000",2008.01.02
16,(선)줄삼치,부산(기장),중,S/P,2,8,"5,000","5,000","5,000",2008.01.02
17,(선)삼치,감포,16미,S/P,37,8,"10,000","10,000","10,000",2008.01.03
18,(선)삼치,삼천포,08미,S/P,9,8,"13,000","13,000","13,000",2008.01.03
19,(선)삼치,삼천포,06미,S/P,1,8,"15,000","15,000","15,000",2008.01.03
20,(선)삼치,여수,04미,S/P,31,8,"14,000","14,000","14,000",2008.01.03
21,(선)삼치,부산(기장),16미,S/P,1,8,"8,000","8,000","8,000",2008.01.03
22,(선)삼치,부산(기장),10미,S/P,342,8,"15,000","14,000","14,900",2008.01.03
23,(선)삼치,삼천포,05미,S/P,70,8,"17,000","17,000","17,000",2008.01.03
24,(선)삼치,부산(기장),14미,S/P,93,8,"17,000","17,000","17,000",2008.01.03
25,(선)삼치,여수,08미,c/s(상자),23,12,"6,000","6,000","6,000",2008.01.03
26,(선)삼치,감포,10미,S/P,4,8,"10,000","10,000","10,000",2008.01.03
27,(선)삼치,여수,12미,c/s(상자),6,12,"6,000","6,000","6,000",2008.01.03
28,(선)삼치,여수,10미,S/P,100,8,"5,000","5,000","5,000",2008.01.03
29,(선)삼치,여수,06미,S/P,1,8,"5,000","5,000","5,000",2008.01.03
30,(선)삼치,삼천포,10미,S/P,391,8,"15,000","8,000","9,500",2008.01.03
31,(선)삼치,여수,05미,S/P,4,8,"14,000","14,000","14,000",2008.01.03
32,(냉)삼치,마산,20미,CT/(BT),99,15,"21,500","21,500","21,500",2008.01.03
33,(냉)삼치,마산,24미,box,94,15,"15,000","15,000","15,000",2008.01.03
34,(선)삼치,감포,16미,S/P,32,8,"8,000","8,000","8,000",2008.01.04
35,(선)삼치,삼천포,10미,S/P,"1,836",8,"8,000","6,000","7,500",2008.01.04
36,(선)삼치,여수,10미,S/P,97,8,"8,000","8,000","8,000",2008.01.04
37,(선)삼치,감포,10미,S/P,25,8,"10,000","10,000","10,000",2008.01.04
