,어종,산지,규격,포장,수량,중량,낙찰고가,낙찰저가,평균가,일시
0,(선)삼치,부산(기장),20미,S/P,4,10,"15,000","15,000","15,000",2011.01.03
1,(선)삼치,부산(기장),6미,S/P,7,10,"20,000","20,000","20,000",2011.01.03
2,(선)삼치,제주도,8미,S/P,2,20,"70,000","70,000","70,000",2011.01.03
3,(선)삼치,부산(기장),10미,S/P,"2,137",10,"22,000","12,000","17,800",2011.01.03
4,(선)삼치,부산(기장),12미,S/P,100,10,"15,000","15,000","15,000",2011.01.03
5,(선)삼치,여수,10미,S/P,140,10,"10,000","10,000","10,000",2011.01.03
6,(선)삼치,제주도,중,S/P,15,20,"15,000","15,000","15,000",2011.01.03
7,(선)삼치,여수,중,box,6,10,"40,000","40,000","40,000",2011.01.03
8,(선)삼치,부산(기장),14미,S/P,85,10,"17,000","17,000","17,000",2011.01.03
9,(선)삼치,삼천포,8미,S/P,154,10,"20,000","15,000","15,100",2011.01.04
10,(선)삼치,삼천포,중,S/P,3,20,"120,000","120,000","120,000",2011.01.04
11,(선)삼치,부산(기장),10미,S/P,800,10,"18,000","13,000","16,000",2011.01.04
12,(선)삼치,여수,10미,S/P,83,10,"10,000","10,000","10,000",2011.01.04
13,(선)삼치,삼천포,10미,S/P,2,10,"20,000","20,000","20,000",2011.01.04
14,(선)삼치,부산(기장),8미,S/P,23,10,"15,000","15,000","15,000",2011.01.05
15,(선)삼치,통영,10미,S/P,150,10,"10,000","10,000","10,000",2011.01.05
16,(선)삼치,삼천포,중,S/P,4,20,"153,000","101,000","123,800",2011.01.05
17,(선)삼치,부산(기장),10미,S/P,300,10,"15,000","15,000","15,000",2011.01.05
18,(선)삼치,통영,6미,S/P,1,10,"10,000","10,000","10,000",2011.01.05
19,(선)삼치,통영,12미,S/P,161,10,"12,000","10,000","11,400",2011.01.05
20,(선)삼치,삼천포,12미,S/P,68,10,"14,000","14,000","14,000",2011.01.05
21,(선)삼치,후포,중,S/P,10,10,"15,000","15,000","15,000",2011.01.05
22,(선)삼치,여수,중,c/s(상자),13,10,"8,000","8,000","8,000",2011.01.05
23,(선)삼치,부산(기장),중,S/P,100,10,"18,000","18,000","18,000",2011.01.05
24,(선)삼치,삼천포,10미,S/P,116,10,"22,000","12,000","20,600",2011.01.05
