,어종,산지,규격,포장,수량,중량,낙찰고가,낙찰저가,평균가,일시
0,(활)가시굴,마산,중,그물망,27,10.0,"12,000","12,000","12,000",2014.01.02
1,(활)가시굴,사천,중,그물망,14,10.0,"14,500","14,500","14,500",2014.01.02
2,(선)깐굴,마산,소,box,1,4.3,"27,000","27,000","27,000",2014.01.02
3,(선)깐굴,남해,소,box,442,3.0,"30,300","15,500","17,400",2014.01.02
4,(선)깐굴,삼천포,중,box,5,4.0,"55,000","55,000","55,000",2014.01.02
5,(선)깐굴,통영,소,box,9,2.9,"23,000","23,000","23,000",2014.01.02
6,(선)깐굴,고흥,소,box,150,3.9,"25,500","24,600","25,000",2014.01.02
7,(선)깐굴,남해,소,box,42,4.0,"20,100","20,100","20,100",2014.01.02
8,(선)깐굴,사천,소,box,46,1.8,"22,000","20,300","21,000",2014.01.02
9,(선)깐굴,통영,소,box,"1,778",1.7,"12,800","10,600","11,700",2014.01.02
10,(선)깐굴,마산,소,box,6,1.8,"13,000","13,000","13,000",2014.01.02
11,(선)깐굴,사천,소,box,268,3.7,"33,000","31,200","32,100",2014.01.02
12,(선)깐굴,남해,소,box,41,2.6,"19,000","15,500","17,300",2014.01.02
13,(선)깐굴,사천,소,box,81,2.6,"17,000","16,600","16,700",2014.01.02
14,(선)깐굴,남해,소,box,43,3.1,"15,500","15,500","15,500",2014.01.02
15,(선)깐굴,사천,소,box,352,2.7,"30,700","17,500","20,000",2014.01.02
16,(선)깐굴,남해,소,box,162,2.8,"18,000","15,100","15,500",2014.01.02
17,(선)깐굴,통영,소,box,40,2.8,"24,000","21,500","22,800",2014.01.02
18,(선)깐굴,남해,소,box,41,2.7,"18,000","18,000","18,000",2014.01.02
19,(선)깐굴,사천,소,box,480,2.8,"30,500","17,500","20,200",2014.01.02
20,(선)깐굴,고흥,소,box,120,4.0,"45,000","25,200","28,500",2014.01.02
21,(선)깐굴,사천,소,box,109,2.0,"26,100","26,000","26,100",2014.01.02
22,(선)깐굴,사천,소,box,27,3.8,"23,000","23,000","23,000",2014.01.02
23,(선)깐굴,남해,소,box,162,3.7,"23,000","19,600","21,000",2014.01.02
24,(선)깐굴,남해,소,box,595,2.9,"18,100","16,000","16,800",2014.01.02
25,(선)깐굴,사천,소,box,692,2.9,"33,000","17,500","21,400",2014.01.02
26,(선)깐굴,사천,소,box,100,3.5,"31,300","31,300","31,300",2014.01.02
27,(선)깐굴,통영,소,box,625,1.8,"15,000","11,600","12,700",2014.01.02
28,(선)깐굴,남해,소,box,83,3.8,"20,200","20,100","20,200",2014.01.02
29,(선)깐굴,통영,소,box,584,2.7,"22,300","19,500","20,000",2014.01.02
30,(선)깐굴,사천,소,box,615,3.0,"28,000","15,000","23,300",2014.01.02
31,(선)깐굴,사천,소,box,85,1.9,"25,000","21,000","22,600",2014.01.02
32,(선)깐굴,사천,소,box,32,2.1,"25,000","25,000","25,000",2014.01.02
