,어종,산지,규격,포장,수량,중량,낙찰고가,낙찰저가,평균가,일시
0,(선)삼치,추자도,중,가구,222.0,10,"35,000","10,000","15,700",2010.01.02
1,(선)삼치,제주도,중,S/P,11.0,1,"8,000","8,000","8,000",2010.01.02
2,(선)삼치,제주도,12미,S/P,5.0,10,"56,000","56,000","56,000",2010.01.02
3,(선)삼치,부산(기장),중,S/P,6.6,1,"4,000","4,000","4,000",2010.01.02
4,(선)삼치,제주도,04미,S/P,1.0,9,"70,000","70,000","70,000",2010.01.02
5,(선)삼치,부산(기장),10미,S/P,550.0,10,"18,000","15,000","16,400",2010.01.02
6,(선)삼치,목포,중,c/s(상자),4.0,10,"10,000","10,000","10,000",2010.01.04
7,(선)삼치,삼천포,04미,S/P,1.0,10,"7,000","7,000","7,000",2010.01.04
8,(선)삼치,감포,10미,S/P,159.0,10,"7,000","7,000","7,000",2010.01.04
9,(선)삼치,죽변,중,S/P,53.0,10,"15,000","15,000","15,000",2010.01.04
10,(선)삼치,여수,10미,S/P,102.0,10,"7,000","7,000","7,000",2010.01.04
11,(선)삼치,여수,08미,S/P,100.0,10,"7,000","7,000","7,000",2010.01.04
12,(선)삼치,감포,06미,S/P,1.0,10,"2,000","2,000","2,000",2010.01.04
13,(선)삼치,부산(기장),10미,S/P,850.0,10,"17,000","17,000","17,000",2010.01.04
14,(선)삼치,삼천포,10미,c/s(상자),9.0,10,"10,000","10,000","10,000",2010.01.04
15,(선)삼치,삼천포,15미,S/P,1.0,10,"7,000","7,000","7,000",2010.01.04
16,(선)삼치,부산(기장),중,box,3.0,8,"45,000","45,000","45,000",2010.01.04
17,(선)삼치,제주도,중,S/P,2.0,10,"17,000","17,000","17,000",2010.01.04
18,(선)삼치,삼천포,중,S/P,1.0,10,"10,000","10,000","10,000",2010.01.04
19,(선)삼치,제주도,중,S/P,102.3,1,"6,000","3,080","3,700",2010.01.04
20,(선)삼치,목포,중,S/P,38.0,10,"8,000","8,000","8,000",2010.01.04
21,(선)삼치,삼천포,08미,S/P,129.0,10,"17,000","7,000","16,500",2010.01.04
22,(선)삼치,삼천포,10미,S/P,471.0,10,"19,000","6,000","15,900",2010.01.04
23,(냉)삼치,부산(기장),22미,CT/(BT),209.0,17,"40,000","40,000","40,000",2010.01.04
24,(냉)삼치,기타(국내),중,box,4.0,15,"90,000","90,000","90,000",2010.01.04
25,(냉)삼치,마산,2단,c/s(상자),200.0,25,"60,300","60,300","60,300",2010.01.04
26,(냉)삼치,마산,40미,c/s(상자),88.0,25,"25,000","25,000","25,000",2010.01.04
27,(냉)삼치,부산(기장),25미,CT/(BT),117.0,17,"35,000","35,000","35,000",2010.01.04
28,(냉)삼치,부산(기장),3단,c/s(상자),28.0,25,"53,300","53,300","53,300",2010.01.04
29,(냉)삼치,부산(기장),30미,CT/(BT),119.0,17,"40,000","40,000","40,000",2010.01.04
30,(냉)삼치,부산(기장),20미,CT/(BT),114.0,17,"40,000","40,000","40,000",2010.01.04
31,(냉)삼치,부산(기장),2단,c/s(상자),81.0,25,"58,500","58,500","58,500",2010.01.04
32,(선)삼치,통영,12미,S/P,4,20,"25,000","25,000","25,000",2010.01.05
33,(선)삼치,부산(기장),중,S/P,200,10,"15,000","15,000","15,000",2010.01.05
34,(선)삼치,여수,중,c/s(상자),17,10,"10,000","10,000","10,000",2010.01.05
35,(선)삼치,삼천포,중,S/P,17.8,1,"5,500","5,500","5,500",2010.01.05
36,(선)삼치,부산(기장),10미,S/P,"1,000",10,"13,000","8,000","9,500",2010.01.05
37,(선)삼치,제주도,중,S/P,15,8,"20,000","20,000","20,000",2010.01.05
38,(선)삼치,삼천포,중,S/P,33,20,"50,000","50,000","50,000",2010.01.05
39,(선)삼치,통영,10미,S/P,150,10,"15,000","15,000","15,000",2010.01.05
40,(선)삼치,부산(기장),중,S/P,7.8,1,"5,000","5,000","5,000",2010.01.05
41,(선)삼치,삼천포,08미,c/s(상자),290,10,"15,000","15,000","15,000",2010.01.05
42,(선)삼치,제주도,중,S/P,1,10,"10,000","10,000","10,000",2010.01.05
43,(선)삼치,여수,진통,c/s(상자),20,15,"20,000","20,000","20,000",2010.01.05
44,(선)삼치,삼천포,08미,S/P,136,10,"15,000","15,000","15,000",2010.01.05
45,(선)삼치,삼천포,10미,S/P,437,10,"15,000","12,000","14,200",2010.01.05
46,(냉)삼치,마산,04미,c/s(상자),56,17,"75,800","75,800","75,800",2010.01.05
47,(냉)삼치,마산,3단,c/s(상자),70,25,"57,000","57,000","57,000",2010.01.05
48,(냉)삼치,마산,03미,c/s(상자),2,17,"42,100","42,100","42,100",2010.01.05
49,(냉)삼치,마산,3단,CT/(BT),77,17,"30,000","30,000","30,000",2010.01.05
50,(선)삼치,부산(기장),중,S/P,122.5,1,"2,000","2,000","2,000",2010.01.06
51,(선)삼치,부산(기장),08미,S/P,200.0,10,"20,200","20,200","20,200",2010.01.06
52,(선)삼치,삼천포,중,S/P,5.0,20,"50,000","50,000","50,000",2010.01.06
53,(선)삼치,부산(기장),10미,S/P,646.0,10,"16,000","13,000","14,500",2010.01.06
54,(선)삼치,부산(기장),12미,S/P,200.0,10,"18,500","18,500","18,500",2010.01.06
55,(선)삼치,제주도,중,S/P,6,1,"8,000","8,000","8,000",2010.01.07
56,(선)삼치,부산(기장),10미,S/P,184,10,"16,000","10,000","13,900",2010.01.07
57,(냉)삼치,마산,04미,c/s(상자),46,17,"78,700","78,700","78,700",2010.01.07
58,(냉)삼치,마산,2단,c/s(상자),45,25,"67,100","67,100","67,100",2010.01.07
59,(냉)삼치,마산,05미,c/s(상자),25,17,"68,300","61,100","61,400",2010.01.07
60,(냉)삼치,마산,03미,c/s(상자),2,17,"42,100","42,100","42,100",2010.01.07
61,(냉)삼치,부산(기장),3단,CT/(BT),30,15,"40,000","40,000","40,000",2010.01.07
62,(선)삼치,거제도,08미,S/P,2,10,"15,000","15,000","15,000",2010.01.08
63,(선)삼치,부산(기장),08미,S/P,100,10,"18,000","18,000","18,000",2010.01.08
64,(선)삼치,부산(기장),16미,S/P,1,10,"16,000","16,000","16,000",2010.01.08
65,(선)삼치,부산(기장),10미,S/P,930,10,"16,000","15,000","15,400",2010.01.08
66,(선)삼치,거제도,18미,S/P,3,10,"5,000","5,000","5,000",2010.01.08
67,(선)삼치,부산(기장),12미,S/P,100,10,"16,000","16,000","16,000",2010.01.08
68,(선)삼치,부산(기장),14미,S/P,6,10,"10,000","10,000","10,000",2010.01.08
69,(선)삼치,부산(기장),중,S/P,5,10,"10,000","10,000","10,000",2010.01.08
70,(선)삼치,거제도,14미,S/P,153,10,"5,000","5,000","5,000",2010.01.08
71,(선)삼치,거제도,12미,S/P,54,10,"8,000","8,000","8,000",2010.01.08
72,(냉)삼치,부산(기장),3단,CT/(BT),100,15,"48,100","48,100","48,100",2010.01.08
73,(선)삼치,제주도,중,S/P,12.5,1,"6,000","6,000","6,000",2010.01.09
74,(선)삼치,부산(기장),10미,S/P,862.0,10,"17,000","5,000","14,400",2010.01.09
75,(선)삼치,거제도,14미,S/P,40.0,10,"6,000","6,000","6,000",2010.01.09
76,(냉)삼치,마산,3단,CT/(BT),12.0,17,"35,000","35,000","35,000",2010.01.09
77,(냉)삼치,마산,3단,c/s(상자),58.0,25,"55,100","55,100","55,100",2010.01.09
78,(냉)삼치,부산(기장),중,CT/(BT),58.0,21,"40,000","40,000","40,000",2010.01.09
79,(냉)삼치,마산,04미,c/s(상자),133.0,17,"77,800","77,800","77,800",2010.01.09
80,(냉)삼치,마산,2단,CT/(BT),100.0,17,"40,000","40,000","40,000",2010.01.09
81,(냉)삼치,마산,24미,CT/(BT),121.0,17,"40,000","40,000","40,000",2010.01.09
82,(선)삼치,삼천포,중,S/P,4,10,"8,000","8,000","8,000",2010.01.11
83,(선)삼치,부산(기장),10미,S/P,697,10,"18,000","5,000","14,000",2010.01.11
84,(선)삼치,삼천포,10미,S/P,112,10,"10,000","8,000","8,200",2010.01.11
85,(냉)삼치,마산,2단,c/s(상자),200,25,"67,100","67,100","67,100",2010.01.11
86,(선)삼치,제주도,중,S/P,69.7,1,"10,000","9,000","9,500",2010.01.12
87,(선)삼치,부산(기장),20미,S/P,1.0,10,"17,000","17,000","17,000",2010.01.12
88,(선)삼치,부산(기장),05미,S/P,2.0,10,"17,000","17,000","17,000",2010.01.12
89,(선)삼치,부산(기장),10미,S/P,371.0,10,"20,000","17,000","19,200",2010.01.12
90,(선)삼치,여수,중,S/P,50.0,10,"13,000","13,000","13,000",2010.01.12
91,(선)삼치,부산(기장),중,S/P,206.0,10,"10,000","10,000","10,000",2010.01.12
92,(선)삼치,삼천포,10미,S/P,155.0,10,"12,000","10,000","10,800",2010.01.12
93,(선)삼치,죽변,06미,S/P,5.0,10,"10,000","10,000","10,000",2010.01.13
94,(선)삼치,부산(기장),중,S/P,193.0,10,"18,000","18,000","18,000",2010.01.13
95,(선)삼치,부산(기장),14미,S/P,18.0,10,"13,000","13,000","13,000",2010.01.13
96,(선)삼치,여수,중,S/P,100.0,10,"15,000","15,000","15,000",2010.01.13
97,(선)삼치,삼천포,12미,S/P,5.0,10,"8,000","8,000","8,000",2010.01.13
98,(선)삼치,삼천포,중,S/P,18.0,1,"7,000","7,000","7,000",2010.01.13
99,(선)삼치,여수,10미,c/s(상자),193.0,10,"20,000","15,000","19,700",2010.01.13
100,(선)삼치,부산(기장),10미,S/P,626.0,10,"18,000","5,000","13,400",2010.01.13
101,(선)삼치,제주도,중,S/P,3.0,5,"2,000","2,000","2,000",2010.01.13
102,(선)삼치,부산(기장),16미,S/P,35.0,10,"5,000","5,000","5,000",2010.01.13
103,(선)삼치,통영,10미,S/P,50.0,10,"8,000","8,000","8,000",2010.01.13
104,(선)삼치,제주도,중,S/P,2.0,25,"30,000","30,000","30,000",2010.01.13
105,(선)삼치,제주도,대,S/P,16.0,20,"124,500","100,000","111,800",2010.01.13
106,(선)삼치,통영,중,S/P,18.9,1,"7,000","7,000","7,000",2010.01.13
107,(선)삼치,제주도,중,S/P,10.0,10,"67,000","20,000","41,300",2010.01.13
108,(선)삼치,삼천포,중,S/P,3.0,10,"5,000","5,000","5,000",2010.01.13
109,(선)삼치,부산(기장),20미,S/P,22.0,10,"5,000","5,000","5,000",2010.01.13
110,(선)삼치,제주도,중,S/P,98.0,1,"8,500","8,500","8,500",2010.01.13
111,(선)삼치,삼천포,10미,S/P,36.0,10,"12,000","12,000","12,000",2010.01.13
112,(선)삼치,제주도,중,S/P,156.5,1,"4,200","3,000","3,500",2010.01.14
113,(선)삼치,부산(기장),중,S/P,48.7,1,"9,000","2,500","5,900",2010.01.14
114,(선)삼치,부산(기장),08미,S/P,148.0,10,"18,000","18,000","18,000",2010.01.14
115,(선)삼치,여수,08미,c/s(상자),162.0,10,"20,000","20,000","20,000",2010.01.14
116,(선)삼치,통영,10미,S/P,273.0,10,"6,000","6,000","6,000",2010.01.14
117,(선)삼치,여수,진통,c/s(상자),2.0,20,"13,000","13,000","13,000",2010.01.14
118,(선)삼치,부산(기장),10미,S/P,112.0,10,"20,000","4,000","16,900",2010.01.14
119,(선)삼치,삼천포,중,S/P,15.5,1,"6,000","6,000","6,000",2010.01.14
120,(선)삼치,삼천포,12미,S/P,99.0,10,"6,000","6,000","6,000",2010.01.14
121,(선)삼치,여수,10미,S/P,115.0,10,"20,000","20,000","20,000",2010.01.14
122,(선)삼치,부산(기장),14미,S/P,17.0,10,"10,000","10,000","10,000",2010.01.14
123,(선)삼치,부산(기장),중,S/P,160.0,10,"10,000","10,000","10,000",2010.01.14
124,(선)삼치,여수,09미,S/P,9.0,10,"20,000","20,000","20,000",2010.01.14
125,(선)삼치,삼천포,10미,S/P,40.0,10,"6,000","6,000","6,000",2010.01.14
126,(선)삼치,제주도,중,S/P,176,1,"8,000","5,000","5,600",2010.01.15
127,(선)삼치,제주도,중,S/P,1,15,"25,000","25,000","25,000",2010.01.15
128,(선)삼치,제주도,중,S/P,5,16,"25,000","25,000","25,000",2010.01.15
129,(선)삼치,제주도,중,S/P,2,21,"80,400","80,400","80,400",2010.01.15
130,(선)삼치,부산(기장),10미,S/P,180,10,"20,000","20,000","20,000",2010.01.15
131,(선)삼치,제주도,중,S/P,2,22,"80,000","80,000","80,000",2010.01.15
132,(선)삼치,제주도,중,S/P,2,14,"76,500","76,500","76,500",2010.01.15
133,(선)삼치,제주도,중,S/P,2,17,"75,000","75,000","75,000",2010.01.15
134,(선)삼치,제주도,중,S/P,1,20,"65,000","65,000","65,000",2010.01.15
135,(선)삼치,여수,06미,c/s(상자),187,10,"18,000","18,000","18,000",2010.01.15
136,(선)삼치,방어진,대,S/P,22.0,1,"6,000","6,000","6,000",2010.01.16
137,(선)삼치,제주도,중,S/P,109.8,1,"8,000","5,700","7,700",2010.01.16
138,(선)삼치,삼천포,중,S/P,8.0,10,"18,000","18,000","18,000",2010.01.16
139,(선)삼치,통영,중,S/P,183.8,1,"6,500","6,000","6,300",2010.01.16
140,(선)삼치,통영,10미,S/P,387.0,10,"10,000","10,000","10,000",2010.01.16
141,(선)삼치,삼천포,12미,S/P,39.0,10,"10,000","10,000","10,000",2010.01.16
142,(선)삼치,제주도,중,S/P,2.0,20,"100,000","100,000","100,000",2010.01.16
143,(냉)삼치,마산,30미,CT/(BT),187.0,15,"35,000","35,000","35,000",2010.01.16
144,(냉)삼치,마산,40미,CT/(BT),118.0,15,"35,000","35,000","35,000",2010.01.16
145,(선)삼치,삼천포,14미,S/P,146.0,10,"20,000","20,000","20,000",2010.01.18
146,(선)삼치,감포,10미,S/P,9.0,10,"18,000","18,000","18,000",2010.01.18
147,(선)삼치,부산(기장),14미,S/P,13.0,10,"10,000","10,000","10,000",2010.01.18
148,(선)삼치,추자도,24미,S/P,2.0,10,"22,000","22,000","22,000",2010.01.18
149,(선)삼치,여수,10미,S/P,267.0,10,"10,000","10,000","10,000",2010.01.18
150,(선)삼치,삼천포,12미,S/P,401.0,10,"10,000","7,000","8,400",2010.01.18
151,(선)삼치,통영,06미,S/P,3.0,10,"12,000","12,000","12,000",2010.01.18
152,(선)삼치,통영,12미,S/P,1.0,10,"12,000","12,000","12,000",2010.01.18
153,(선)삼치,여수,10미,c/s(상자),101.0,10,"12,000","12,000","12,000",2010.01.18
154,(선)삼치,통영,08미,S/P,91.0,10,"20,000","20,000","20,000",2010.01.18
155,(선)삼치,부산(기장),10미,S/P,972.0,10,"20,000","8,000","11,900",2010.01.18
156,(선)삼치,부산(기장),16미,S/P,132.0,10,"8,000","8,000","8,000",2010.01.18
157,(선)삼치,통영,10미,S/P,125.0,10,"12,000","6,000","6,200",2010.01.18
158,(선)삼치,여수,08미,c/s(상자),41.0,10,"20,000","20,000","20,000",2010.01.18
159,(선)삼치,통영,중,S/P,80.8,1,"4,500",300,"3,900",2010.01.18
160,(선)삼치,부산(기장),26미,S/P,20.0,15,"10,000","10,000","10,000",2010.01.18
161,(선)삼치,제주도,중,S/P,7.0,15,"128,000","86,000","107,800",2010.01.18
162,(선)삼치,추자도,28미,S/P,1.0,10,"22,000","22,000","22,000",2010.01.18
163,(선)삼치,부산(기장),20미,S/P,33.0,10,"8,000","8,000","8,000",2010.01.18
164,(선)삼치,제주도,중,S/P,38.3,1,"6,000","6,000","6,000",2010.01.18
165,(선)삼치,여수,진통,c/s(상자),40.0,15,"10,000","10,000","10,000",2010.01.18
166,(선)삼치,삼천포,08미,S/P,42.0,10,"22,000","22,000","22,000",2010.01.18
167,(선)삼치,추자도,13미,S/P,1.0,10,"20,000","20,000","20,000",2010.01.18
168,(선)삼치,통영,02미,S/P,1.0,10,"12,000","12,000","12,000",2010.01.18
169,(선)삼치,여수,중,S/P,31.3,1,"5,000","5,000","5,000",2010.01.18
170,(선)삼치,삼천포,10미,S/P,579.0,10,"22,000","10,000","14,200",2010.01.18
171,(냉)삼치,마산,2단,c/s(상자),118.0,25,"63,100","63,100","63,100",2010.01.18
172,(선)삼치,목포,05미,S/P,40.0,10,"35,000","35,000","35,000",2010.01.19
173,(선)삼치,부산(기장),중,S/P,26.2,1,"7,500","2,000","5,500",2010.01.19
174,(선)삼치,부산(기장),10미,S/P,61.0,10,"15,000","15,000","15,000",2010.01.19
175,(선)삼치,목포,14미,c/s(상자),30.0,15,"9,000","9,000","9,000",2010.01.19
176,(선)삼치,여수,08미,S/P,50.0,10,"20,000","20,000","20,000",2010.01.19
177,(선)삼치,삼천포,12미,S/P,419.0,10,"7,000","5,000","6,100",2010.01.19
178,(선)삼치,일본,중,S/P,5.0,15,"20,000","20,000","20,000",2010.01.19
179,(선)삼치,부산(기장),14미,S/P,41.0,10,"7,000","7,000","7,000",2010.01.19
180,(선)삼치,삼천포,10미,S/P,693.0,10,"20,000","7,000","14,600",2010.01.19
181,(선)삼치,제주도,중,S/P,51.2,1,"7,000","7,000","7,000",2010.01.20
182,(선)삼치,통영,중,S/P,40.8,1,"9,000","9,000","9,000",2010.01.20
183,(선)삼치,부산(기장),10미,S/P,"1,733",10,"20,000","5,000","10,700",2010.01.20
184,(선)삼치,여수,10미,c/s(상자),33,10,"18,000","18,000","18,000",2010.01.20
185,(선)삼치,여수,08미,S/P,6,10,"18,000","18,000","18,000",2010.01.20
186,(선)삼치,부산(기장),12미,S/P,151,10,"15,000","6,000","12,700",2010.01.20
187,(선)삼치,삼천포,12미,S/P,28,10,"6,000","6,000","6,000",2010.01.20
188,(선)삼치,여수,10미,S/P,116,10,"17,000","17,000","17,000",2010.01.20
189,(선)삼치,부산(기장),14미,S/P,52,10,"8,000","6,000","7,700",2010.01.20
190,(선)삼치,부산(기장),06미,S/P,18,10,"12,000","12,000","12,000",2010.01.20
191,(선)삼치,목포,08미,S/P,140,10,"13,000","13,000","13,000",2010.01.20
192,(선)삼치,삼천포,10미,S/P,230,10,"20,000","12,000","13,000",2010.01.20
193,(선)삼치,제주도,중,S/P,111.3,1,"8,000","7,000","7,300",2010.01.21
194,(선)삼치,제주도,중,S/P,1.0,10,"10,000","10,000","10,000",2010.01.21
195,(선)삼치,제주도,06미,S/P,3.0,17,"15,000","15,000","15,000",2010.01.21
196,(선)삼치,부산(기장),중,S/P,70.9,1,"8,000","7,000","7,300",2010.01.21
197,(선)삼치,제주도,중,S/P,6.0,25,"70,000","70,000","70,000",2010.01.21
198,(선)삼치,통영,10미,S/P,318.0,10,"18,000","7,000","9,600",2010.01.21
199,(선)삼치,부산(기장),10미,S/P,102.0,10,"18,000","17,000","17,000",2010.01.21
200,(선)삼치,여수,10미,c/s(상자),253.0,15,"12,000","12,000","12,000",2010.01.21
201,(선)삼치,여수,06미,c/s(상자),216.0,15,"5,000","5,000","5,000",2010.01.21
202,(선)삼치,부산(기장),06미,S/P,17.0,10,"18,000","18,000","18,000",2010.01.21
203,(선)삼치,삼천포,04미,S/P,1.0,10,"18,000","18,000","18,000",2010.01.21
204,(선)삼치,삼천포,10미,S/P,23.0,10,"18,000","18,000","18,000",2010.01.21
205,(선)삼치,제주도,중,S/P,95.2,1,"7,500","6,500","7,000",2010.01.22
206,(선)삼치,부산(기장),20미,S/P,1.0,10,"10,000","10,000","10,000",2010.01.22
207,(선)삼치,제주도,중,S/P,5.0,10,"83,000","7,000","22,800",2010.01.22
208,(선)삼치,여수,중,S/P,6.0,20,"20,000","20,000","20,000",2010.01.22
209,(선)삼치,부산(기장),10미,S/P,306.0,10,"20,000","7,000","14,600",2010.01.22
210,(선)삼치,삼천포,중,S/P,21.5,1,"8,000","8,000","8,000",2010.01.22
211,(선)삼치,여수,10미,S/P,75.0,10,"22,000","22,000","22,000",2010.01.22
212,(선)삼치,제주도,05미,S/P,3.0,10,"84,000","83,000","83,700",2010.01.22
213,(선)삼치,제주도,중,S/P,3.0,20,"70,000","60,000","65,000",2010.01.22
214,(선)삼치,부산(기장),14미,S/P,113.0,10,"10,000","10,000","10,000",2010.01.22
215,(선)삼치,삼천포,10미,S/P,31.0,10,"12,000","12,000","12,000",2010.01.22
216,(냉)삼치,부산(기장),26미,CT/(BT),23.0,17,"35,000","35,000","35,000",2010.01.22
217,(냉)삼치,부산(기장),22미,CT/(BT),12.0,17,"35,000","35,000","35,000",2010.01.22
218,(선)삼치,제주도,중,S/P,35.2,1,"6,000","6,000","6,000",2010.01.23
219,(선)삼치,추자도,중,S/P,1.0,20,"60,000","60,000","60,000",2010.01.23
220,(선)삼치,제주도,중,S/P,1.0,20,"10,000","10,000","10,000",2010.01.23
221,(선)삼치,여수,10미,S/P,101.0,10,"22,000","22,000","22,000",2010.01.23
222,(선)삼치,부산(기장),12미,S/P,95.0,10,"8,000","8,000","8,000",2010.01.23
223,(선)삼치,통영,대,S/P,181.0,1,"6,000","5,000","5,200",2010.01.23
224,(선)삼치,통영,12미,S/P,76.0,10,"7,000","7,000","7,000",2010.01.23
225,(선)삼치,부산(기장),10미,S/P,287.0,10,"22,000","17,000","18,900",2010.01.23
226,(선)삼치,통영,10미,S/P,94.0,10,"20,000","7,000","10,300",2010.01.23
227,(선)삼치,삼천포,24미,S/P,109.0,15,"8,000","8,000","8,000",2010.01.23
228,(선)삼치,부산(기장),08미,S/P,9.0,10,"20,000","20,000","20,000",2010.01.23
229,(선)삼치,부산(기장),중,S/P,7.8,1,"5,500","5,500","5,500",2010.01.23
230,(선)삼치,여수,중,S/P,8.0,20,"15,000","15,000","15,000",2010.01.23
231,(선)삼치,부산(기장),05미,S/P,7.0,10,"20,000","20,000","20,000",2010.01.23
232,(선)삼치,통영,중,S/P,15.0,20,"25,000","25,000","25,000",2010.01.23
233,(선)삼치,통영,중,S/P,200.8,1,"6,000","5,700","5,800",2010.01.23
234,(선)삼치,제주도,중,S/P,2.0,15,"20,000","20,000","20,000",2010.01.23
235,(선)삼치,부산(기장),20미,S/P,1.0,10,"20,000","20,000","20,000",2010.01.23
236,(선)삼치,삼천포,10미,S/P,115.0,10,"10,000","10,000","10,000",2010.01.23
237,(선)줄삼치,포항,대,S/P,9.8,1,"11,000","11,000","11,000",2010.01.23
238,(선)삼치,부산(기장),05미,S/P,4,10,"30,000","30,000","30,000",2010.01.25
239,(선)삼치,부산(기장),중,S/P,8,10,"20,000","20,000","20,000",2010.01.25
240,(선)삼치,삼천포,12미,S/P,28,10,"10,000","10,000","10,000",2010.01.25
241,(선)삼치,통영,12미,S/P,80,10,"7,000","7,000","7,000",2010.01.25
242,(선)삼치,부산(기장),10미,S/P,401,10,"22,000","15,000","20,500",2010.01.25
243,(선)삼치,제주도,중,S/P,2,8,"40,000","40,000","40,000",2010.01.25
244,(선)삼치,통영,10미,S/P,230,10,"7,000","7,000","7,000",2010.01.25
245,(선)삼치,부산(기장),08미,S/P,267,10,"25,000","17,000","20,100",2010.01.25
246,(선)삼치,삼천포,10미,S/P,65,10,"23,000","15,000","21,200",2010.01.25
247,(선)삼치,부산(기장),20미,S/P,122,15,"14,000","14,000","14,000",2010.01.25
248,(선)삼치,제주도,중,S/P,72.6,1,"9,100","6,000","7,300",2010.01.25
249,(선)삼치,여수,진통,c/s(상자),30,15,"15,000","15,000","15,000",2010.01.25
250,(선)삼치,삼천포,08미,S/P,46,10,"20,000","20,000","20,000",2010.01.25
251,(선)삼치,방어진,대,S/P,30.1,1,"7,000","7,000","7,000",2010.01.25
252,(선)삼치,삼천포,대,S/P,1,15,"65,000","65,000","65,000",2010.01.25
253,(냉)삼치,마산,30미,CT/(BT),452,19,"38,000","38,000","38,000",2010.01.25
254,(냉)삼치,마산,30미,CT/(BT),400,20,"35,000","35,000","35,000",2010.01.25
255,(냉)삼치,마산,45미,CT/(BT),"1,000",15,"38,000","38,000","38,000",2010.01.25
256,(냉)삼치,마산,30미,CT/(BT),233,15,"35,000","35,000","35,000",2010.01.25
257,(선)삼치,삼천포,08미,S/P,32.0,10,"25,000","25,000","25,000",2010.01.26
258,(선)삼치,삼천포,06미,S/P,1.0,10,"20,000","20,000","20,000",2010.01.26
259,(선)삼치,여수,06미,c/s(상자),77.0,10,"20,000","20,000","20,000",2010.01.26
260,(선)삼치,삼천포,07미,S/P,1.0,10,"20,000","20,000","20,000",2010.01.26
