,어종,산지,규격,포장,수량,중량,낙찰고가,낙찰저가,평균가,일시
0,(활)전복,완도,11/12미,kg,52.8,1,"36,000","30,000","34,400",2008.01.02
1,(활)전복,완도,8/9미,kg,106.4,1,"40,000","30,000","34,800",2008.01.02
2,(활)전복,완도,중,kg,16.6,1,"30,000","30,000","30,000",2008.01.02
3,(활)전복,완도,19미,kg,13.3,1,"31,000","30,000","30,400",2008.01.02
4,(활)전복,완도,6/7미,kg,32.0,1,"30,000","30,000","30,000",2008.01.02
5,(활)전복,완도,17/18미,kg,8.7,1,"32,000","23,000","26,500",2008.01.02
6,(활)전복,완도,14/15미,kg,68.5,1,"35,000","33,000","33,400",2008.01.02
7,(활)전복,완도,9/10미,kg,96.4,1,"40,000","33,000","37,700",2008.01.02
8,(활)전복,완도,13/14미,kg,53.3,1,"34,000","30,000","33,300",2008.01.02
9,(활)전복,완도,12/13미,kg,39.3,1,"34,000","30,000","33,500",2008.01.02
10,(활)전복,완도,소,kg,11.1,1,"30,000","30,000","30,000",2008.01.02
11,(활)전복,완도,15/16미,kg,48.1,1,"33,000","30,000","31,900",2008.01.02
12,(활)전복,완도,20미,kg,10.8,1,"28,000","28,000","28,000",2008.01.02
13,(활)전복,완도,06미,kg,43.4,1,"62,000","30,000","45,100",2008.01.02
14,(활)전복,완도,09미,kg,44.2,1,"43,000","30,000","36,400",2008.01.02
15,(활)전복,완도,07미,kg,38.9,1,"53,000","30,000","41,300",2008.01.02
16,(활)전복,완도,7/8미,kg,34.9,1,"48,000","30,000","32,800",2008.01.02
17,(활)전복,완도,대,kg,10.1,1,"30,000","30,000","30,000",2008.01.02
18,(활)전복,완도,08미,kg,19.1,1,"46,000","30,000","40,100",2008.01.02
19,(활)전복,완도,10미,kg,10.3,1,"40,000","38,000","39,100",2008.01.02
20,(활)전복,완도,10/11미,kg,86.5,1,"38,000","30,000","34,400",2008.01.02
21,(선)전복,완도,중,kg,10.7,1,"80,000","80,000","80,000",2008.01.02
