,어종,산지,규격,포장,수량,중량,낙찰고가,낙찰저가,평균가,일시
0,(선)깐굴,삼천포,소,box,33,1.9,"27,000","27,000","27,000",2019.01.02
1,(선)깐굴,통영,소,box,50,2.8,"28,600","28,600","28,600",2019.01.02
2,(선)깐굴,통영,소,box,414,2.0,"25,200","17,300","17,700",2019.01.02
3,(선)깐굴,남해,소,box,152,2.8,"32,100","25,100","29,500",2019.01.02
4,(선)깐굴,삼천포,소,box,83,3.0,"29,000","25,100","28,700",2019.01.02
5,(선)깐굴,남해,중,S/P,5,2.0,"40,000","40,000","40,000",2019.01.02
6,(선)깐굴,통영,소,box,30,1.7,"17,800","17,800","17,800",2019.01.02
7,(선)깐굴,남해,중,S/P,5,3.0,"40,000","40,000","40,000",2019.01.02
8,(선)깐굴,통영,소,box,"1,002",1.9,"22,500","16,700","18,900",2019.01.02
9,(선)깐굴,삼천포,소,box,336,2.0,"29,500","28,000","28,900",2019.01.02
10,(선)깐굴,사천,소,box,182,2.8,"32,200","29,600","30,500",2019.01.02
11,(선)깐굴,통영,중,S/P,5,2.0,"35,000","35,000","35,000",2019.01.02
12,(선)깐굴,사천,소,box,157,2.0,"26,500","26,000","26,200",2019.01.02
13,(선)깐굴,통영,소,box,100,3.0,"27,100","27,100","27,100",2019.01.02
14,(선)깐굴,통영,2봉,box,100,1.4,"13,000","11,500","12,000",2019.01.02
15,(선)깐굴,남해,소,box,12,3.9,"40,000","40,000","40,000",2019.01.02
16,(선)깐굴,남해,소,box,20,3.0,"32,000","32,000","32,000",2019.01.02
17,(선)깐굴,삼천포,소,box,23,2.9,"28,100","28,100","28,100",2019.01.02
18,(선)깐굴,남해,소,box,19,2.9,"29,300","29,300","29,300",2019.01.02
19,(선)깐굴,사천,소,box,50,2.9,"27,000","27,000","27,000",2019.01.02
20,(선)깐굴,통영,소,box,839,1.8,"19,000","17,000","17,900",2019.01.02
21,(선)깐굴,통영,소,box,47,2.7,"28,300","25,600","26,700",2019.01.02
22,(활)바위굴,통영,대,box,130,10.0,"18,000","18,000","18,000",2019.01.02
23,(활)바위굴,마산,중,그물망,144,10.0,"14,000","12,200","13,100",2019.01.02
24,(선)바위굴,마산,대,box,80,10.0,"25,000","25,000","25,000",2019.01.02
25,(선)바위굴,통영,대,box,47,10.0,"12,600","12,300","12,400",2019.01.02
26,(가공)봉굴,통영,대,box,30,10.0,"40,000","40,000","40,000",2019.01.02
27,(가공)봉굴,통영,중,box,20,5.0,"13,000","13,000","13,000",2019.01.02
28,(선)깐굴,통영,소,box,100,2.9,"30,500","30,000","30,300",2019.01.03
29,(선)깐굴,통영,소,box,315,2.0,"24,500","19,100","20,800",2019.01.03
30,(선)깐굴,남해,소,box,6,2.8,"32,000","32,000","32,000",2019.01.03
31,(선)깐굴,삼천포,소,box,30,1.8,"22,100","22,100","22,100",2019.01.03
32,(선)깐굴,남해,소,box,28,3.1,"35,000","33,000","33,700",2019.01.03
33,(선)깐굴,남해,소,box,296,1.9,"26,000","22,000","24,500",2019.01.03
34,(선)깐굴,태안,소,box,41,1.9,"27,100","27,100","27,100",2019.01.03
35,(선)깐굴,삼천포,소,box,89,3.0,"32,200","31,000","31,200",2019.01.03
36,(선)깐굴,남해,소,box,4,3.2,"32,200","32,200","32,200",2019.01.03
37,(선)깐굴,통영,소,box,112,1.7,"19,000","17,700","18,100",2019.01.03
38,(선)깐굴,남해,소,box,188,3.0,"35,000","33,000","33,700",2019.01.03
39,(선)깐굴,통영,소,box,472,1.9,"21,300","18,000","19,600",2019.01.03
40,(선)깐굴,삼천포,소,box,166,2.1,"30,800","30,000","30,100",2019.01.03
41,(선)깐굴,고흥,소,box,50,4.2,"38,200","38,200","38,200",2019.01.03
42,(선)깐굴,남해,소,box,21,2.0,"25,000","23,000","24,900",2019.01.03
43,(선)깐굴,삼천포,소,box,10,2.0,"18,500","18,500","18,500",2019.01.03
44,(선)깐굴,사천,소,box,189,2.8,"32,300","30,600","31,100",2019.01.03
45,(선)깐굴,통영,소,box,30,2.7,"29,000","29,000","29,000",2019.01.03
46,(선)깐굴,통영,소,box,394,1.8,"21,100","19,000","19,800",2019.01.03
47,(선)깐굴,남해,소,box,125,2.9,"35,500","33,200","34,200",2019.01.03
48,(선)깐굴,삼천포,소,box,56,1.9,"26,000","24,000","25,100",2019.01.03
49,(선)깐굴,삼천포,소,box,8,2.8,"29,300","29,300","29,300",2019.01.03
50,(활)바위굴,통영,대,box,20,10.0,"18,000","18,000","18,000",2019.01.03
51,(활)바위굴,마산,대,box,50,10.0,"16,000","16,000","16,000",2019.01.03
52,(활)바위굴,마산,중,그물망,150,10.0,"9,500","7,500","8,200",2019.01.03
