date,최종수량,1kg price
2008.01,329404.50000000006,4606.573465968591
2008.02,263862.9000000001,4981.782233375159
2008.03,175000.10000000012,4343.3057382039515
2008.04,73670.40000000001,4654.8725255102045
2008.05,31304.300000000003,4935.369358974359
2008.06,17582.7,5627.976258503405
2008.07,12840.499999999998,4913.659708029197
2008.08,15728.999999999998,6368.442340425533
2008.09,36223.499999999985,6247.5377815699585
2008.1,133233.3000000001,6535.553344537817
2008.11,412038.2999999997,10546.171458523242
2008.12,366990.19999999984,7646.469672818793
