,date,qty,1kg price,temp,temp_sc,qty_sc
73,2006.06.16,686.0,6560.94,18.3,0.35368326257861626,-0.7086049842980046
74,2006.06.17,776.2,6210.59,18.3,0.35368326257861626,-0.6912994035152742
75,2006.06.18,,,,,
76,2006.06.19,890.6,6429.07,18.85,0.459368356989908,-0.6693508620347379
77,2006.06.20,695.1,5921.28,19.07,0.5016423947544245,-0.7068590775893255
78,2006.06.21,338.2,5379.59,19.2,0.5266225079789114,-0.7753331549879563
79,2006.06.22,669.3,4979.23,19.12,0.5112501306099966,-0.7118090108952506
80,2006.06.23,566.0,5134.18,19.08,0.5035639419255385,-0.7316279299069586
81,2006.06.24,659.2,4753.5,18.97,0.4824269230432803,-0.7137467754840043
82,2006.06.25,,,,,
83,2006.06.26,983.9,4011.49,18.5,0.392114206000904,-0.6514505218237763
84,2006.06.27,21.2,4960.32,18.68,0.42670205508096304,-0.8361521029716098
85,2006.06.28,422.2,6409.21,18.9,0.4689760928454795,-0.7592170930616885
86,2006.06.29,382.0,6137.78,19.03,0.4939562060699671,-0.766929779840688
87,2006.06.30,510.7,6033.28,18.97,0.4824269230432803,-0.7422376706750848
88,2006.07.01,624.3,5221.21,19.0,0.4881915645566237,-0.7204426154986083
89,2006.07.02,,,,,
90,2006.07.03,484.0,6290.61,19.5,0.5842689231123434,-0.7473602760730771
91,2006.07.04,306.3,7366.58,20.03,0.6861109231814064,-0.7814534213623365
92,2006.07.05,811.6,7006.2,20.15,0.7091694892347786,-0.6845076345606327
93,2006.07.06,876.8,5824.41,20.18,0.7149341307481221,-0.6719985007797676
94,2006.07.07,496.2,5525.22,20.32,0.7418357911437237,-0.7450196099361669
95,2006.07.08,360.7,5781.59,20.4,0.7572081685126385,-0.7710163526862774
96,2006.07.09,,,,,
97,2006.07.10,978.7,5885.76,20.4,0.7572081685126385,-0.6524481828001643
98,2006.07.11,355.0,6344.09,19.75,0.6323076023902032,-0.7721099426027027
99,2006.07.12,630.4,5702.76,20.0,0.680346281668063,-0.7192722824301532
100,2006.07.13,360.9,5648.99,20.18,0.7149341307481221,-0.7709779811102624
101,2006.07.14,373.4,5870.83,19.97,0.6745816401547197,-0.7685797576093297
102,2006.07.15,830.8,4816.64,20.07,0.6937971118658638,-0.6808239632631999
103,2006.07.16,,,,,
104,2006.07.17,806.0,5247.35,20.25,0.7283849609459229,-0.6855820386890505
105,2006.07.18,134.0,5693.45,20.05,0.6899540175236352,-0.8145105340991929
106,2006.07.19,68.5,6119.05,20.32,0.7418357911437237,-0.8270772252440803
107,2006.07.20,580.3,7068.87,20.18,0.7149341307481221,-0.7288843622218915
108,2006.07.21,750.3,5437.05,20.45,0.7668159043682106,-0.6962685226092067
109,2006.07.22,619.0,5659.76,20.52,0.7802667345660114,-0.7214594622630038
110,2006.07.23,,,,,
111,2006.07.24,1209.9,4349.69,20.57,0.7898744704215835,-0.6080906409269129
112,2006.07.25,352.1,4136.41,20.52,0.7802667345660114,-0.7726663304549191
113,2006.07.26,498.9,3975.59,20.45,0.7668159043682106,-0.7445015936599654
114,2006.07.27,335.0,3751.91,20.77,0.8283054138438712,-0.7759471002041949
115,2006.07.28,116.6,4110.29,21.1,0.8917164704906466,-0.8178488612124912
116,2006.07.29,421.8,5525.74,21.57,0.9820291875330228,-0.7592938362137183
117,2006.07.30,,,,,
118,2006.07.31,738.0,5440.69,21.83,1.0319894139819967,-0.6986283745341245
119,2006.08.01,348.4,6209.19,20.63,0.8014037534482696,-0.7733762046111952
120,2006.08.02,545.0,5776.67,21.4,0.949362885624078,-0.7356569453885256
121,2006.08.03,355.4,5345.98,22.2,1.1030866593132296,-0.7720331994506728
122,2006.08.04,423.6,4493.41,23.4,1.3336723198469569,-0.758948492029584
123,2006.08.05,198.2,4740.28,23.98,1.4451220557715918,-0.8021932581984026
