,species,from,date,qty,1kg price,year,month,day
0,(선)삼치,통영,2006.03.21,169.5,4900.0,2006,03,21
1,(선)삼치,부산(기장),2006.03.21,120.1,3000.0,2006,03,21
2,(선)삼치,통영,2006.03.22,8.0,750.0,2006,03,22
4,(선)삼치,부산(기장),2006.03.22,49.4,3900.0,2006,03,22
5,(선)삼치,부산(기장),2006.03.22,480.0,1625.0,2006,03,22
6,(선)삼치,부산(기장),2006.03.22,3880.0,1300.0,2006,03,22
7,(선)삼치,부산(기장),2006.03.22,2640.0,1262.5,2006,03,22
8,(선)삼치,부산(기장),2006.03.22,2400.0,1000.0,2006,03,22
9,(선)삼치,통영,2006.03.22,368.0,1375.0,2006,03,22
10,(냉)삼치,마산,2006.03.22,660.0,1833.33,2006,03,22
11,(선)삼치,부산(기장),2006.03.23,38.6,4600.0,2006,03,23
13,(선)삼치,부산(기장),2006.03.23,2136.0,1875.0,2006,03,23
14,(선)삼치,부산(기장),2006.03.23,1200.0,1250.0,2006,03,23
16,(선)삼치,부산(기장),2006.03.23,3880.0,1875.0,2006,03,23
17,(선)삼치,부산(기장),2006.03.24,70.8,5000.0,2006,03,24
19,(선)삼치,부산(기장),2006.03.24,120.0,1500.0,2006,03,24
20,(선)삼치,부산(기장),2006.03.24,992.0,875.0,2006,03,24
21,(선)삼치,부산(기장),2006.03.24,32.0,2500.0,2006,03,24
22,(선)삼치,통영,2006.03.24,1120.0,1000.0,2006,03,24
23,(선)삼치,부산(기장),2006.03.24,1736.0,1312.5,2006,03,24
24,(선)삼치,부산(기장),2006.03.24,728.0,875.0,2006,03,24
25,(선)삼치,부산(기장),2006.03.24,4456.0,1275.0,2006,03,24
26,(선)삼치,부산(기장),2006.03.24,14256.0,1125.0,2006,03,24
27,(선)삼치,부산(기장),2006.03.24,904.0,875.0,2006,03,24
29,(선)삼치,부산(기장),2006.03.25,8.0,625.0,2006,03,25
30,(선)삼치,부산(기장),2006.03.25,1600.0,1000.0,2006,03,25
31,(선)삼치,부산(기장),2006.03.25,9192.0,1137.5,2006,03,25
32,(선)삼치,부산(기장),2006.03.25,16.0,625.0,2006,03,25
33,(선)삼치,부산(기장),2006.03.25,7360.0,1062.5,2006,03,25
34,(선)삼치,부산(기장),2006.03.25,1200.0,1000.0,2006,03,25
35,(선)삼치,통영,2006.03.27,256.8,5000.0,2006,03,27
36,(선)삼치,부산(기장),2006.03.27,66.5,4000.0,2006,03,27
37,(선)삼치,부산(기장),2006.03.27,30.0,4000.0,2006,03,27
39,(선)삼치,통영,2006.03.28,186.9,4800.0,2006,03,28
41,(선)삼치,부산(기장),2006.03.28,7.0,2000.0,2006,03,28
42,(선)삼치,부산(기장),2006.03.28,1672.0,1000.0,2006,03,28
43,(선)삼치,부산(기장),2006.03.28,2976.0,1000.0,2006,03,28
44,(선)삼치,부산(기장),2006.03.28,7.3,4000.0,2006,03,28
45,(선)삼치,부산(기장),2006.03.28,1272.0,1000.0,2006,03,28
46,(선)삼치,부산(기장),2006.03.28,960.0,1000.0,2006,03,28
47,(선)삼치,부산(기장),2006.03.28,40.0,4000.0,2006,03,28
49,(선)삼치,통영,2006.03.29,47.8,4000.0,2006,03,29
50,(선)삼치,부산(기장),2006.03.29,551.6,2300.0,2006,03,29
51,(선)삼치,부산(기장),2006.03.29,237.7,2500.0,2006,03,29
52,(선)삼치,부산(기장),2006.03.30,325.8,2100.0,2006,03,30
54,(선)삼치,부산(기장),2006.03.30,904.0,875.0,2006,03,30
55,(선)삼치,부산(기장),2006.03.30,5608.0,787.5,2006,03,30
56,(선)삼치,부산(기장),2006.03.30,200.0,1875.0,2006,03,30
57,(선)삼치,부산(기장),2006.03.30,5528.0,837.5,2006,03,30
58,(선)삼치,부산(기장),2006.03.30,1472.0,875.0,2006,03,30
60,(선)삼치,부산(기장),2006.03.31,1200.0,1000.0,2006,03,31
61,(선)삼치,부산(기장),2006.03.31,185.9,2400.0,2006,03,31
62,(선)삼치,삼천포,2006.03.31,10.0,2400.0,2006,03,31
64,(선)삼치,부산(기장),2006.03.31,472.0,875.0,2006,03,31
66,(선)삼치,부산(기장),2006.03.31,400.0,1000.0,2006,03,31
70,(선)삼치,부산(기장),2006.04.01,200.0,1700.0,2006,04,01
72,(선)삼치,부산(기장),2006.04.01,712.0,1375.0,2006,04,01
73,(선)삼치,부산(기장),2006.04.01,3288.0,1500.0,2006,04,01
74,(선)삼치,부산(기장),2006.04.01,1200.0,1375.0,2006,04,01
75,(선)삼치,부산(기장),2006.04.01,1200.0,1375.0,2006,04,01
77,(선)삼치,삼천포,2006.04.03,624.0,1625.0,2006,04,03
78,(선)삼치,삼천포,2006.04.03,96.0,1000.0,2006,04,03
79,(선)삼치,부산(기장),2006.04.03,1600.0,2250.0,2006,04,03
80,(선)삼치,삼천포,2006.04.03,8.0,1000.0,2006,04,03
81,(선)삼치,부산(기장),2006.04.03,800.0,2500.0,2006,04,03
82,(선)삼치,부산(기장),2006.04.03,112.0,625.0,2006,04,03
83,(선)삼치,부산(기장),2006.04.03,3384.0,2162.5,2006,04,03
85,(선)삼치,통영,2006.04.04,8.0,1000.0,2006,04,04
86,(선)삼치,여수,2006.04.04,184.0,1250.0,2006,04,04
87,(선)삼치,통영,2006.04.04,432.0,1875.0,2006,04,04
88,(선)삼치,통영,2006.04.04,40.0,1000.0,2006,04,04
89,(선)삼치,부산(기장),2006.04.04,3544.0,1737.5,2006,04,04
90,(선)삼치,부산(기장),2006.04.04,984.0,750.0,2006,04,04
91,(선)삼치,통영,2006.04.04,80.0,2500.0,2006,04,04
92,(선)삼치,부산(기장),2006.04.04,4904.0,1325.0,2006,04,04
93,(선)삼치,통영,2006.04.04,424.0,1000.0,2006,04,04
94,(선)삼치,부산(기장),2006.04.04,728.0,1625.0,2006,04,04
95,(선)삼치,통영,2006.04.04,10.0,2500.0,2006,04,04
96,(선)삼치,통영,2006.04.04,694.1,3300.0,2006,04,04
97,(선)삼치,통영,2006.04.04,512.0,1687.5,2006,04,04
98,(냉)삼치,마산,2006.04.04,990.0,1500.0,2006,04,04
99,(냉)삼치,마산,2006.04.04,500.0,1500.0,2006,04,04
100,(냉)삼치,마산,2006.04.04,600.0,833.33,2006,04,04
101,(선)삼치,삼천포,2006.04.05,2280.0,1712.5,2006,04,05
102,(선)삼치,통영,2006.04.05,190.6,3000.0,2006,04,05
103,(선)삼치,부산(기장),2006.04.05,14.4,3000.0,2006,04,05
104,(선)삼치,부산(기장),2006.04.05,4496.0,1287.5,2006,04,05
105,(선)삼치,부산(기장),2006.04.05,8.0,1000.0,2006,04,05
106,(선)삼치,부산(기장),2006.04.05,120.0,533.33,2006,04,05
108,(냉)삼치,부산(기장),2006.04.05,600.0,1833.33,2006,04,05
109,(냉)삼치,마산,2006.04.05,500.0,1500.0,2006,04,05
110,(냉)삼치,마산,2006.04.05,660.0,1833.33,2006,04,05
111,(선)삼치,부산(기장),2006.04.06,24.0,1875.0,2006,04,06
112,(선)삼치,통영,2006.04.06,124.3,4200.0,2006,04,06
113,(선)삼치,부산(기장),2006.04.06,19.1,3000.0,2006,04,06
114,(선)삼치,부산(기장),2006.04.06,24.0,1875.0,2006,04,06
115,(선)삼치,부산(기장),2006.04.06,360.0,1750.0,2006,04,06
116,(선)삼치,부산(기장),2006.04.06,5.0,2000.0,2006,04,06
117,(선)삼치,부산(기장),2006.04.06,240.0,3125.0,2006,04,06
118,(선)삼치,부산(기장),2006.04.06,1520.0,2100.0,2006,04,06
119,(선)삼치,부산(기장),2006.04.06,8.0,1250.0,2006,04,06
120,(냉)삼치,부산(기장),2006.04.06,1670.0,800.0,2006,04,06
121,(냉)삼치,부산(기장),2006.04.06,600.0,1833.33,2006,04,06
122,(냉)삼치,마산,2006.04.06,600.0,2083.33,2006,04,06
123,(선)삼치,부산(기장),2006.04.07,960.0,750.0,2006,04,07
124,(선)삼치,삼천포,2006.04.07,4488.0,1000.0,2006,04,07
125,(선)삼치,통영,2006.04.07,98.7,4800.0,2006,04,07
126,(선)삼치,부산(기장),2006.04.07,93.4,2700.0,2006,04,07
127,(선)삼치,삼천포,2006.04.07,8.0,1500.0,2006,04,07
128,(선)삼치,부산(기장),2006.04.07,24.0,1500.0,2006,04,07
129,(선)삼치,통영,2006.04.07,800.0,1250.0,2006,04,07
130,(선)삼치,부산(기장),2006.04.07,83.1,3000.0,2006,04,07
131,(선)삼치,삼천포,2006.04.07,2488.0,1500.0,2006,04,07
132,(선)삼치,삼천포,2006.04.07,8.0,1500.0,2006,04,07
133,(선)삼치,통영,2006.04.07,2400.0,1387.5,2006,04,07
134,(선)삼치,부산(기장),2006.04.07,60.0,1000.0,2006,04,07
135,(선)삼치,삼천포,2006.04.07,1176.0,1875.0,2006,04,07
136,(선)삼치,부산(기장),2006.04.07,2808.0,1212.5,2006,04,07
137,(냉)삼치,마산,2006.04.07,500.0,1500.0,2006,04,07
139,(냉)삼치,마산,2006.04.07,500.0,1800.0,2006,04,07
140,(냉)삼치,부산(기장),2006.04.07,600.0,1833.33,2006,04,07
141,(냉)삼치,부산(기장),2006.04.07,240.0,1250.0,2006,04,07
142,(냉)삼치,부산(기장),2006.04.07,600.0,1250.0,2006,04,07
143,(냉)삼치,마산,2006.04.07,600.0,1833.33,2006,04,07
144,(선)삼치,삼천포,2006.04.08,1936.0,1875.0,2006,04,08
145,(선)삼치,삼천포,2006.04.08,3248.0,1250.0,2006,04,08
146,(선)삼치,통영,2006.04.08,102.7,5300.0,2006,04,08
147,(선)삼치,부산(기장),2006.04.08,11.5,2000.0,2006,04,08
149,(선)삼치,부산(기장),2006.04.08,11.4,3700.0,2006,04,08
150,(선)삼치,부산(기장),2006.04.08,960.0,1250.0,2006,04,08
151,(선)삼치,통영,2006.04.08,200.0,1650.0,2006,04,08
152,(선)삼치,통영,2006.04.08,5.0,2000.0,2006,04,08
153,(선)삼치,삼천포,2006.04.10,334.8,4000.0,2006,04,10
154,(선)삼치,통영,2006.04.10,480.0,1375.0,2006,04,10
155,(선)삼치,통영,2006.04.10,20.0,500.0,2006,04,10
156,(선)삼치,부산(기장),2006.04.10,1080.0,1000.0,2006,04,10
157,(선)삼치,부산(기장),2006.04.10,4592.0,1312.5,2006,04,10
158,(선)삼치,부산(기장),2006.04.10,2896.0,1587.5,2006,04,10
159,(선)삼치,통영,2006.04.10,560.0,1500.0,2006,04,10
160,(선)삼치,부산(기장),2006.04.10,304.0,2125.0,2006,04,10
161,(선)삼치,통영,2006.04.10,1320.0,1087.5,2006,04,10
162,(선)삼치,부산(기장),2006.04.10,96.0,1375.0,2006,04,10
163,(선)삼치,통영,2006.04.10,229.7,4300.0,2006,04,10
165,(선)삼치,부산(기장),2006.04.10,61.0,3300.0,2006,04,10
166,(선)삼치,통영,2006.04.10,454.6,2900.0,2006,04,10
167,(냉)삼치,부산(기장),2006.04.10,876.0,1666.67,2006,04,10
168,(냉)삼치,마산,2006.04.10,650.0,1500.0,2006,04,10
169,(냉)삼치,부산(기장),2006.04.10,3000.0,800.0,2006,04,10
170,(선)삼치,통영,2006.04.11,620.0,1100.0,2006,04,11
171,(선)삼치,삼천포,2006.04.11,1736.0,1250.0,2006,04,11
172,(선)삼치,삼천포,2006.04.11,1608.0,1000.0,2006,04,11
173,(선)삼치,통영,2006.04.11,14.0,4000.0,2006,04,11
174,(선)삼치,부산(기장),2006.04.11,80.9,4900.0,2006,04,11
175,(선)삼치,부산(기장),2006.04.11,280.0,875.0,2006,04,11
176,(선)삼치,부산(기장),2006.04.11,96.0,1500.0,2006,04,11
177,(선)삼치,부산(기장),2006.04.11,3832.0,850.0,2006,04,11
178,(선)삼치,통영,2006.04.11,560.0,1500.0,2006,04,11
179,(선)삼치,부산(기장),2006.04.11,872.0,875.0,2006,04,11
180,(선)삼치,부산(기장),2006.04.11,5360.0,1550.0,2006,04,11
181,(선)삼치,부산(기장),2006.04.11,200.0,1000.0,2006,04,11
182,(선)삼치,부산(기장),2006.04.11,6592.0,1312.5,2006,04,11
184,(선)삼치,부산(기장),2006.04.11,4192.0,1000.0,2006,04,11
185,(냉)삼치,마산,2006.04.11,1000.0,2200.0,2006,04,11
186,(냉)삼치,마산,2006.04.11,100.0,2000.0,2006,04,11
188,(선)삼치,통영,2006.04.12,400.0,1500.0,2006,04,12
190,(선)삼치,통영,2006.04.12,800.0,1250.0,2006,04,12
191,(선)삼치,부산(기장),2006.04.12,1496.0,1000.0,2006,04,12
192,(선)삼치,부산(기장),2006.04.12,5600.0,1237.5,2006,04,12
193,(선)삼치,부산(기장),2006.04.12,400.0,1250.0,2006,04,12
194,(선)삼치,부산(기장),2006.04.12,6040.0,1300.0,2006,04,12
195,(선)삼치,삼천포,2006.04.12,66.5,4000.0,2006,04,12
196,(선)삼치,통영,2006.04.12,520.0,1250.0,2006,04,12
197,(선)삼치,부산(기장),2006.04.12,182.0,4000.0,2006,04,12
199,(냉)삼치,마산,2006.04.12,170.0,2300.0,2006,04,12
200,(냉)삼치,부산(기장),2006.04.12,600.0,1666.67,2006,04,12
201,(냉)삼치,부산(기장),2006.04.12,600.0,1250.0,2006,04,12
202,(냉)삼치,부산(기장),2006.04.12,840.0,1833.33,2006,04,12
203,(선)삼치,통영,2006.04.13,140.0,1750.0,2006,04,13
204,(선)삼치,통영,2006.04.13,66.7,3000.0,2006,04,13
205,(선)삼치,부산(기장),2006.04.13,293.3,3000.0,2006,04,13
206,(선)삼치,통영,2006.04.13,792.0,875.0,2006,04,13
207,(선)삼치,삼천포,2006.04.13,663.0,1100.0,2006,04,13
208,(선)삼치,통영,2006.04.13,8.0,1250.0,2006,04,13
209,(선)삼치,부산(기장),2006.04.13,1760.0,1250.0,2006,04,13
210,(선)삼치,부산(기장),2006.04.13,3784.0,1250.0,2006,04,13
211,(선)삼치,부산(기장),2006.04.13,2016.0,1000.0,2006,04,13
212,(냉)삼치,부산(기장),2006.04.13,432.0,1250.0,2006,04,13
213,(냉)삼치,부산(기장),2006.04.13,1320.0,1666.67,2006,04,13
214,(냉)삼치,부산(기장),2006.04.13,1200.0,1833.33,2006,04,13
215,(냉)삼치,마산,2006.04.13,600.0,1833.33,2006,04,13
216,(선)삼치,통영,2006.04.14,848.5,3200.0,2006,04,14
217,(선)삼치,부산(기장),2006.04.14,200.0,2500.0,2006,04,14
218,(선)삼치,부산(기장),2006.04.14,1200.0,1750.0,2006,04,14
219,(선)삼치,통영,2006.04.14,576.0,1450.0,2006,04,14
220,(냉)삼치,부산(기장),2006.04.14,600.0,1666.67,2006,04,14
221,(냉)삼치,부산(기장),2006.04.14,1200.0,1833.33,2006,04,14
222,(선)삼치,여수,2006.04.15,408.0,1000.0,2006,04,15
223,(선)삼치,통영,2006.04.15,99.6,3000.0,2006,04,15
224,(선)삼치,여수,2006.04.15,400.0,875.0,2006,04,15
225,(선)삼치,부산(기장),2006.04.15,99.5,3000.0,2006,04,15
226,(선)삼치,부산(기장),2006.04.15,368.0,625.0,2006,04,15
227,(선)삼치,부산(기장),2006.04.15,800.0,1000.0,2006,04,15
228,(선)삼치,통영,2006.04.15,20.0,2500.0,2006,04,15
229,(선)삼치,여수,2006.04.15,70.0,1142.86,2006,04,15
230,(선)삼치,통영,2006.04.15,8.0,1250.0,2006,04,15
231,(선)삼치,부산(기장),2006.04.15,3840.0,962.5,2006,04,15
232,(선)삼치,부산(기장),2006.04.15,4416.0,1250.0,2006,04,15
234,(선)삼치,여수,2006.04.15,7.0,1142.86,2006,04,15
235,(선)삼치,통영,2006.04.15,328.0,1500.0,2006,04,15
237,(선)삼치,삼천포,2006.04.17,864.0,1875.0,2006,04,17
238,(선)삼치,삼천포,2006.04.17,632.0,1000.0,2006,04,17
239,(선)삼치,부산(기장),2006.04.17,632.0,750.0,2006,04,17
240,(선)삼치,부산(기장),2006.04.17,8440.0,950.0,2006,04,17
241,(선)삼치,부산(기장),2006.04.17,2480.0,1125.0,2006,04,17
242,(선)삼치,부산(기장),2006.04.17,1200.0,912.5,2006,04,17
243,(냉)삼치,부산(기장),2006.04.17,2000.0,800.0,2006,04,17
244,(냉)삼치,부산(기장),2006.04.17,1032.0,1666.67,2006,04,17
245,(냉)삼치,부산(기장),2006.04.17,1200.0,1833.33,2006,04,17
246,(냉)삼치,마산,2006.04.17,48.0,1916.67,2006,04,17
247,(선)삼치,통영,2006.04.18,1104.6,3000.0,2006,04,18
248,(선)삼치,여수,2006.04.18,296.0,1187.5,2006,04,18
249,(선)삼치,통영,2006.04.18,368.0,1875.0,2006,04,18
250,(선)삼치,부산(기장),2006.04.18,640.0,1750.0,2006,04,18
251,(선)삼치,부산(기장),2006.04.18,4656.0,1250.0,2006,04,18
252,(선)삼치,부산(기장),2006.04.18,776.0,1875.0,2006,04,18
253,(냉)삼치,부산(기장),2006.04.18,1000.0,1000.0,2006,04,18
254,(선)삼치,통영,2006.04.19,309.9,3700.0,2006,04,19
255,(선)삼치,부산(기장),2006.04.19,608.0,1000.0,2006,04,19
256,(선)삼치,부산(기장),2006.04.19,632.0,1875.0,2006,04,19
257,(선)삼치,통영,2006.04.19,1504.0,1012.5,2006,04,19
258,(선)삼치,통영,2006.04.19,8.0,1000.0,2006,04,19
259,(선)삼치,부산(기장),2006.04.19,560.0,562.5,2006,04,19
260,(선)삼치,부산(기장),2006.04.19,3544.0,612.5,2006,04,19
261,(선)삼치,통영,2006.04.19,3984.0,1300.0,2006,04,19
262,(냉)삼치,부산(기장),2006.04.19,1200.0,1666.67,2006,04,19
263,(냉)삼치,부산(기장),2006.04.19,1200.0,1833.33,2006,04,19
264,(선)삼치,통영,2006.04.20,252.8,4500.0,2006,04,20
265,(선)삼치,여수,2006.04.20,4368.0,1875.0,2006,04,20
266,(선)삼치,부산(기장),2006.04.20,5824.0,1150.0,2006,04,20
267,(선)삼치,여수,2006.04.20,264.0,1875.0,2006,04,20
268,(냉)삼치,마산,2006.04.20,612.0,2083.33,2006,04,20
269,(선)삼치,삼천포,2006.04.21,1224.0,1650.0,2006,04,21
270,(선)삼치,통영,2006.04.21,152.0,1250.0,2006,04,21
271,(선)삼치,통영,2006.04.21,1424.0,1212.5,2006,04,21
272,(선)삼치,통영,2006.04.21,160.0,625.0,2006,04,21
273,(선)삼치,부산(기장),2006.04.21,800.0,250.0,2006,04,21
274,(선)삼치,통영,2006.04.21,217.3,4000.0,2006,04,21
276,(선)삼치,부산(기장),2006.04.21,1832.0,475.0,2006,04,21
277,(선)삼치,통영,2006.04.21,24.0,2500.0,2006,04,21
278,(선)삼치,부산(기장),2006.04.21,664.0,2000.0,2006,04,21
280,(선)삼치,삼천포,2006.04.21,8.0,625.0,2006,04,21
281,(선)삼치,삼천포,2006.04.21,344.0,1875.0,2006,04,21
282,(냉)삼치,부산(기장),2006.04.21,1000.0,600.0,2006,04,21
283,(냉)삼치,마산,2006.04.21,720.0,2058.33,2006,04,21
284,(선)삼치,부산(기장),2006.04.22,8.0,1750.0,2006,04,22
285,(선)삼치,부산(기장),2006.04.22,480.0,1000.0,2006,04,22
286,(선)삼치,부산(기장),2006.04.22,2504.0,1750.0,2006,04,22
287,(냉)삼치,마산,2006.04.22,720.0,1358.33,2006,04,22
288,(선)삼치,통영,2006.04.24,83.8,5000.0,2006,04,24
289,(선)삼치,통영,2006.04.24,8.0,1250.0,2006,04,24
290,(선)삼치,통영,2006.04.24,1272.0,2250.0,2006,04,24
291,(선)삼치,통영,2006.04.24,78.0,5600.0,2006,04,24
292,(선)삼치,여수,2006.04.24,192.0,1875.0,2006,04,24
293,(선)삼치,부산(기장),2006.04.24,6.5,2000.0,2006,04,24
294,(선)삼치,통영,2006.04.24,16.0,625.0,2006,04,24
295,(선)삼치,통영,2006.04.24,704.0,2250.0,2006,04,24
296,(선)삼치,부산(기장),2006.04.24,8.0,1250.0,2006,04,24
297,(선)삼치,부산(기장),2006.04.24,1144.0,1625.0,2006,04,24
298,(선)삼치,부산(기장),2006.04.24,2080.0,1375.0,2006,04,24
299,(냉)삼치,부산(기장),2006.04.24,1200.0,2083.33,2006,04,24
300,(냉)삼치,부산(기장),2006.04.24,1200.0,1666.67,2006,04,24
301,(냉)삼치,부산(기장),2006.04.24,300.0,800.0,2006,04,24
302,(냉)삼치,부산(기장),2006.04.24,276.0,2083.33,2006,04,24
303,(냉)삼치,부산(기장),2006.04.24,1200.0,1416.67,2006,04,24
304,(냉)삼치,부산(기장),2006.04.24,500.0,800.0,2006,04,24
305,(냉)삼치,부산(기장),2006.04.24,300.0,800.0,2006,04,24
306,(냉)삼치,부산(기장),2006.04.24,360.0,1416.67,2006,04,24
307,(냉)삼치,마산,2006.04.24,960.0,2016.67,2006,04,24
308,(선)삼치,부산(기장),2006.04.25,1504.0,1250.0,2006,04,25
309,(선)삼치,부산(기장),2006.04.25,3144.0,1312.5,2006,04,25
310,(선)삼치,부산(기장),2006.04.25,24.0,625.0,2006,04,25
311,(선)삼치,부산(기장),2006.04.25,2856.0,1887.5,2006,04,25
312,(선)삼치,부산(기장),2006.04.25,108.1,4000.0,2006,04,25
314,(선)삼치,통영,2006.04.25,39.0,3500.0,2006,04,25
315,(선)삼치,부산(기장),2006.04.25,8.0,625.0,2006,04,25
316,(선)삼치,통영,2006.04.25,159.0,3500.0,2006,04,25
317,(선)삼치,통영,2006.04.25,1264.0,1875.0,2006,04,25
318,(선)삼치,부산(기장),2006.04.25,648.0,2487.5,2006,04,25
319,(선)삼치,통영,2006.04.25,8.0,1250.0,2006,04,25
320,(선)삼치,통영,2006.04.25,1224.0,1262.5,2006,04,25
321,(선)삼치,통영,2006.04.25,140.0,1500.0,2006,04,25
322,(선)삼치,통영,2006.04.25,320.0,1500.0,2006,04,25
323,(선)삼치,통영,2006.04.25,138.3,4400.0,2006,04,25
324,(냉)삼치,마산,2006.04.25,600.0,2083.33,2006,04,25
325,(냉)삼치,부산(기장),2006.04.25,2200.0,1050.0,2006,04,25
326,(냉)삼치,부산(기장),2006.04.25,300.0,1700.0,2006,04,25
327,(냉)삼치,부산(기장),2006.04.25,1000.0,600.0,2006,04,25
328,(냉)삼치,마산,2006.04.25,12.0,2083.33,2006,04,25
329,(냉)삼치,삼천포,2006.04.25,1000.0,1700.0,2006,04,25
330,(냉)삼치,마산,2006.04.25,240.0,1666.67,2006,04,25
331,(냉)삼치,마산,2006.04.25,468.0,2083.33,2006,04,25
333,(선)삼치,통영,2006.04.26,128.0,1000.0,2006,04,26
334,(선)삼치,통영,2006.04.26,197.7,3100.0,2006,04,26
335,(선)삼치,부산(기장),2006.04.26,4768.0,1100.0,2006,04,26
336,(선)삼치,통영,2006.04.26,8.0,1250.0,2006,04,26
337,(선)삼치,부산(기장),2006.04.26,5464.0,1525.0,2006,04,26
338,(선)삼치,부산(기장),2006.04.26,61.5,2000.0,2006,04,26
339,(선)삼치,부산(기장),2006.04.26,304.0,1250.0,2006,04,26
340,(선)삼치,통영,2006.04.26,2064.0,1250.0,2006,04,26
341,(선)삼치,통영,2006.04.26,400.0,875.0,2006,04,26
342,(선)삼치,부산(기장),2006.04.26,800.0,2200.0,2006,04,26
343,(선)삼치,부산(기장),2006.04.26,800.0,1625.0,2006,04,26
345,(선)삼치,통영,2006.04.26,40.0,250.0,2006,04,26
346,(선)삼치,여수,2006.04.26,800.0,1250.0,2006,04,26
348,(선)삼치,부산(기장),2006.04.26,100.0,2000.0,2006,04,26
349,(선)삼치,여수,2006.04.26,464.0,1250.0,2006,04,26
350,(선)삼치,통영,2006.04.26,328.4,3500.0,2006,04,26
351,(선)삼치,통영,2006.04.26,280.0,1250.0,2006,04,26
352,(선)삼치,통영,2006.04.26,1400.0,1100.0,2006,04,26
353,(냉)삼치,마산,2006.04.26,60.0,1916.67,2006,04,26
354,(냉)삼치,포항,2006.04.26,400.0,1250.0,2006,04,26
355,(냉)삼치,부산(기장),2006.04.26,1200.0,1875.0,2006,04,26
356,(선)삼치,부산(기장),2006.04.27,344.0,1375.0,2006,04,27
357,(선)삼치,통영,2006.04.27,536.0,1000.0,2006,04,27
358,(선)삼치,통영,2006.04.27,20.0,1650.0,2006,04,27
359,(선)삼치,부산(기장),2006.04.27,1176.0,1000.0,2006,04,27
361,(선)삼치,부산(기장),2006.04.27,1664.0,1812.5,2006,04,27
362,(선)삼치,부산(기장),2006.04.27,1680.0,1475.0,2006,04,27
363,(선)삼치,부산(기장),2006.04.27,56.6,3000.0,2006,04,27
364,(선)삼치,부산(기장),2006.04.27,256.0,1250.0,2006,04,27
366,(선)삼치,통영,2006.04.27,1000.0,775.0,2006,04,27
367,(선)삼치,부산(기장),2006.04.27,448.0,1412.5,2006,04,27
368,(선)삼치,통영,2006.04.27,400.0,750.0,2006,04,27
369,(선)삼치,여수,2006.04.27,13.5,2600.0,2006,04,27
370,(선)삼치,부산(기장),2006.04.27,8.0,625.0,2006,04,27
371,(선)삼치,통영,2006.04.27,920.0,1650.0,2006,04,27
372,(선)삼치,삼천포,2006.04.28,1808.0,1625.0,2006,04,28
373,(선)삼치,삼천포,2006.04.28,352.0,1250.0,2006,04,28
374,(선)삼치,부산(기장),2006.04.28,42.3,3300.0,2006,04,28
375,(선)삼치,부산(기장),2006.04.28,4944.0,1362.5,2006,04,28
376,(선)삼치,부산(기장),2006.04.28,1488.0,1362.5,2006,04,28
377,(선)삼치,부산(기장),2006.04.28,20.0,1500.0,2006,04,28
379,(선)삼치,부산(기장),2006.04.28,2216.0,1000.0,2006,04,28
380,(선)삼치,부산(기장),2006.04.28,100.0,5000.0,2006,04,28
381,(선)삼치,여수,2006.04.28,72.0,1625.0,2006,04,28
382,(선)삼치,부산(기장),2006.04.28,585.0,2500.0,2006,04,28
383,(선)삼치,여수,2006.04.28,1192.0,1625.0,2006,04,28
384,(선)삼치,통영,2006.04.28,36.0,3500.0,2006,04,28
385,(선)삼치,여수,2006.04.28,224.0,1625.0,2006,04,28
386,(선)삼치,삼천포,2006.04.28,1312.0,750.0,2006,04,28
387,(냉)삼치,부산(기장),2006.04.28,1000.0,600.0,2006,04,28
388,(냉)삼치,마산,2006.04.28,600.0,1833.33,2006,04,28
389,(선)삼치,여수,2006.04.29,488.0,1875.0,2006,04,29
390,(선)삼치,부산(기장),2006.04.29,24.6,3000.0,2006,04,29
391,(선)삼치,여수,2006.04.29,204.0,3000.0,2006,04,29
392,(선)삼치,부산(기장),2006.04.29,584.0,1875.0,2006,04,29
393,(선)삼치,부산(기장),2006.04.29,20.0,3000.0,2006,04,29
394,(선)삼치,부산(기장),2006.04.29,1280.0,750.0,2006,04,29
395,(선)삼치,삼천포,2006.04.29,51.0,3000.0,2006,04,29
396,(선)삼치,부산(기장),2006.04.29,784.0,1875.0,2006,04,29
398,(선)삼치,통영,2006.05.01,820.0,1500.0,2006,05,01
400,(선)삼치,통영,2006.05.01,1464.0,1500.0,2006,05,01
401,(선)삼치,삼천포,2006.05.01,696.0,1250.0,2006,05,01
402,(선)삼치,통영,2006.05.01,160.0,2500.0,2006,05,01
403,(선)삼치,부산(기장),2006.05.01,1040.0,1625.0,2006,05,01
404,(선)삼치,통영,2006.05.01,30.0,500.0,2006,05,01
405,(선)삼치,부산(기장),2006.05.01,264.0,1250.0,2006,05,01
406,(선)삼치,삼천포,2006.05.01,260.0,1500.0,2006,05,01
407,(선)삼치,부산(기장),2006.05.01,3624.0,1087.5,2006,05,01
408,(선)삼치,삼천포,2006.05.01,1368.0,1500.0,2006,05,01
409,(선)삼치,부산(기장),2006.05.01,40.0,4000.0,2006,05,01
410,(선)삼치,삼천포,2006.05.01,100.0,1500.0,2006,05,01
411,(선)삼치,부산(기장),2006.05.01,256.0,1000.0,2006,05,01
412,(선)삼치,삼천포,2006.05.01,180.0,1500.0,2006,05,01
413,(선)삼치,삼천포,2006.05.01,10.0,1000.0,2006,05,01
