,어종,산지,평균가,최종수량,year,month,day,date,1kg price
73,(선)깐굴,삼천포,9500,154.8,2006,4,10,2006.04,5277.78
74,(선)깐굴,남해,9500,180.5,2006,4,10,2006.04,5000.0
75,(선)깐굴,삼천포,9500,17.0,2006,4,10,2006.04,5588.24
76,(선)깐굴,남해,9000,87.5,2006,4,10,2006.04,2571.43
77,(선)깐굴,통영,5000,18.2,2006,4,10,2006.04,3571.43
78,(선)깐굴,남해,11300,37.8,2006,4,10,2006.04,6277.78
79,(선)깐굴,통영,5800,476.0,2006,4,10,2006.04,3411.76
80,(선)깐굴,남해,9400,48.0,2006,4,10,2006.04,4700.0
81,(선)깐굴,통영,4900,948.0,2006,4,10,2006.04,4083.33
82,(선)깐굴,통영,5400,450.0,2006,4,10,2006.04,3600.0
83,(선)깐굴,삼천포,10300,180.0,2006,4,10,2006.04,5150.0
84,(선)깐굴,통영,5900,84.80000000000003,2006,4,10,2006.04,3687.5
85,(선)깐굴,삼천포,7500,24.0,2006,4,10,2006.04,4687.5
86,(선)깐굴,통영,7900,213.9,2006,4,10,2006.04,3434.78
87,(선)깐굴,통영,7600,1207.8000000000004,2006,4,10,2006.04,3454.55
88,(선)깐굴,삼천포,9200,163.4,2006,4,10,2006.04,4842.11
89,(선)깐굴,남해,5000,18.0,2006,4,10,2006.04,1666.67
90,(선)깐굴,통영,6600,917.4,2006,4,11,2006.04,3000.0
91,(선)깐굴,통영,7300,633.6,2006,4,11,2006.04,3041.67
92,(선)깐굴,삼천포,11000,199.8,2006,4,11,2006.04,6111.11
93,(선)깐굴,삼천포,10500,146.2,2006,4,11,2006.04,6176.47
94,(선)깐굴,남해,10000,42.0,2006,4,11,2006.04,2857.14
95,(선)깐굴,남해,9000,91.8,2006,4,11,2006.04,5000.0
96,(선)깐굴,통영,4700,325.0,2006,4,11,2006.04,3615.38
97,(선)깐굴,통영,5100,194.7,2006,4,11,2006.04,4636.36
98,(선)깐굴,통영,5300,129.2,2006,4,11,2006.04,3117.65
99,(선)깐굴,통영,4500,180.0,2006,4,11,2006.04,3750.0
100,(선)깐굴,삼천포,10000,20.0,2006,4,11,2006.04,5000.0
101,(선)깐굴,통영,5200,100.8,2006,4,11,2006.04,3250.0
102,(선)깐굴,남해,13000,2.7,2006,4,11,2006.04,4814.81
103,(선)깐굴,남해,11700,73.1,2006,4,11,2006.04,6882.35
104,(선)깐굴,통영,5500,200.0,2006,4,11,2006.04,2750.0
105,(선)깐굴,통영,7000,161.70000000000005,2006,4,12,2006.04,3333.33
106,(선)깐굴,삼천포,13400,52.2,2006,4,12,2006.04,7444.44
107,(선)깐굴,삼천포,10500,19.5,2006,4,12,2006.04,7000.0
108,(선)깐굴,삼천포,11000,11.9,2006,4,12,2006.04,6470.59
109,(선)깐굴,남해,14000,25.2,2006,4,12,2006.04,7777.78
110,(선)깐굴,통영,4700,403.0,2006,4,12,2006.04,3615.38
