,어종,산지,규격,포장,수량,중량,낙찰고가,낙찰저가,평균가,일시
0,(선)삼치,제주도,3미,S/P,1.0,7.5,"52,500","52,500","52,500",2014.01.02
1,(선)삼치,삼천포,8미,S/P,80.0,12.0,"18,000","18,000","18,000",2014.01.02
2,(선)삼치,삼천포,중,S/P,1.0,10.0,"20,000","20,000","20,000",2014.01.02
3,(선)삼치,통영,8미,S/P,24.0,12.0,"25,000","25,000","25,000",2014.01.02
4,(선)삼치,추자도,중,box,5.0,10.0,"28,000","6,000","23,600",2014.01.02
5,(선)삼치,통영,6미,S/P,9.0,12.0,"25,000","25,000","25,000",2014.01.02
6,(선)삼치,통영,중,S/P,1.0,10.0,"5,000","5,000","5,000",2014.01.02
7,(선)삼치,부산(기장),중,S/P,31.3,1.0,"7,500","5,000","6,700",2014.01.02
8,(선)삼치,통영,10미,S/P,134.0,10.0,"11,000","8,000","10,000",2014.01.02
9,(선)삼치,삼천포,중,S/P,3.0,15.0,"86,000","80,000","84,000",2014.01.02
10,(선)삼치,통영,12미,S/P,3.0,10.0,"11,000","11,000","11,000",2014.01.02
11,(선)삼치,남해,중,S/P,21.0,10.0,"11,000","11,000","11,000",2014.01.02
12,(선)삼치,제주도,3미,S/P,2.0,9.0,"72,000","72,000","72,000",2014.01.02
13,(선)삼치,삼천포,10미,S/P,86.0,10.0,"11,000","11,000","11,000",2014.01.02
14,(선)삼치,남해,12미,S/P,7.0,10.0,"10,000","10,000","10,000",2014.01.02
15,(선)삼치,제주도,8미,S/P,12.0,10.0,"70,000","70,000","70,000",2014.01.03
16,(선)삼치,삼천포,6미,S/P,4.0,12.0,"35,000","35,000","35,000",2014.01.03
17,(선)삼치,부산(기장),14미,S/P,6.0,12.0,"13,000","13,000","13,000",2014.01.03
18,(선)삼치,삼천포,중,S/P,1.0,12.0,"35,000","35,000","35,000",2014.01.03
19,(선)삼치,부산(기장),중,S/P,1.0,10.0,"40,000","40,000","40,000",2014.01.03
20,(선)삼치,남해,중,S/P,9.0,10.0,"12,000","12,000","12,000",2014.01.03
21,(선)삼치,삼천포,5미,S/P,22.0,12.0,"40,000","40,000","40,000",2014.01.03
22,(선)삼치,삼천포,대,S/P,18.0,10.0,"25,000","25,000","25,000",2014.01.03
23,(선)삼치,제주도,중,S/P,2.0,14.0,"20,000","20,000","20,000",2014.01.03
24,(선)삼치,제주도,5미,S/P,1.0,10.0,"60,000","60,000","60,000",2014.01.03
25,(선)삼치,통영,10미,S/P,66.0,10.0,"12,000","12,000","12,000",2014.01.03
26,(선)삼치,삼천포,8미,S/P,21.0,10.0,"13,000","13,000","13,000",2014.01.03
27,(선)삼치,부산(기장),중,S/P,11.3,1.0,"4,500","4,500","4,500",2014.01.03
28,(선)삼치,남해,10미,S/P,11.0,10.0,"13,000","13,000","13,000",2014.01.03
29,(선)삼치,추자도,중,box,7.0,10.0,"25,000","25,000","25,000",2014.01.03
30,(선)삼치,삼천포,중,S/P,26.0,10.0,"12,000","12,000","12,000",2014.01.03
31,(선)삼치,남해,8미,S/P,10.0,10.0,"15,000","15,000","15,000",2014.01.03
32,(선)삼치,삼천포,8미,S/P,94.0,12.0,"35,000","35,000","35,000",2014.01.03
33,(선)삼치,삼천포,대,S/P,1.0,15.0,"70,000","70,000","70,000",2014.01.03
