,어종,산지,규격,포장,수량,중량,낙찰고가,낙찰저가,평균가,일시
0,(활)전복,완도,11/12미,kg,89.3,1,"31,000","30,000","30,600",2019.01.02
1,(활)전복,완도,9미,kg,142.8,1,"33,000","31,000","31,800",2019.01.02
2,(활)전복,완도,8/9미,kg,100.8,1,"35,000","33,000","34,100",2019.01.02
3,(활)전복,완도,8/9미,CT/(BT),11.0,1,"60,000","60,000","60,000",2019.01.02
4,(활)전복,완도,중,kg,487.7,1,"42,000","17,000","26,900",2019.01.02
5,(활)전복,완도,14미,kg,16.0,1,"29,000","29,000","29,000",2019.01.02
6,(활)전복,완도,6/7미,kg,34.2,1,"50,000","40,000","43,700",2019.01.02
7,(활)전복,완도,17/18미,kg,34.1,1,"29,000","29,000","29,000",2019.01.02
8,(활)전복,완도,11미,kg,36.2,1,"31,000","30,000","30,700",2019.01.02
9,(활)전복,완도,14/15미,kg,79.4,1,"30,000","29,000","29,400",2019.01.02
10,(활)전복,완도,9/10미,kg,105.7,1,"35,000","31,000","32,600",2019.01.02
11,(활)전복,완도,8미,CT/(BT),10.0,1,"65,000","65,000","65,000",2019.01.02
12,(활)전복,완도,13/14미,kg,104.1,1,"30,000","29,000","29,200",2019.01.02
13,(활)전복,완도,5/6미,kg,23.1,1,"50,000","50,000","50,000",2019.01.02
14,(활)전복,완도,12/13미,kg,45.3,1,"30,000","29,000","29,500",2019.01.02
15,(활)전복,완도,15/16미,kg,56.8,1,"30,000","29,000","29,400",2019.01.02
16,(활)전복,완도,20미,kg,80.0,1,"28,000","27,000","27,600",2019.01.02
17,(활)전복,완도,50미,kg,11.6,1,"14,000","14,000","14,000",2019.01.02
18,(활)전복,완도,7/8미,kg,105.5,1,"46,000","34,000","37,000",2019.01.02
19,(활)전복,완도,18미,kg,22.0,1,"28,000","28,000","28,000",2019.01.02
20,(활)전복,완도,10미,kg,23.3,1,"33,000","31,000","32,000",2019.01.02
21,(활)전복,완도,10/11미,kg,11.4,1,"32,000","32,000","32,000",2019.01.02
22,(활)전복,완도,11/12미,kg,81.6,1,"30,000","29,000","29,600",2019.01.03
23,(활)전복,완도,9미,kg,23.2,1,"33,000","33,000","33,000",2019.01.03
24,(활)전복,완도,8/9미,kg,89.9,1,"40,000","35,000","36,600",2019.01.03
25,(활)전복,완도,중,kg,295.2,1,"47,000","24,000","26,200",2019.01.03
26,(활)전복,완도,25미,kg,11.7,1,"25,000","25,000","25,000",2019.01.03
27,(활)전복,완도,15미,kg,22.9,1,"30,000","30,000","30,000",2019.01.03
28,(활)전복,완도,14미,kg,11.0,1,"30,000","30,000","30,000",2019.01.03
29,(활)전복,완도,17/18미,kg,46.5,1,"29,000","29,000","29,000",2019.01.03
30,(활)전복,완도,14/15미,kg,23.0,1,"30,000","30,000","30,000",2019.01.03
31,(활)전복,완도,9/10미,kg,23.7,1,"33,000","32,000","32,500",2019.01.03
32,(활)전복,완도,40미,kg,30.6,1,"17,000","17,000","17,000",2019.01.03
33,(활)전복,완도,13/14미,kg,159.6,1,"31,000","28,000","28,700",2019.01.03
34,(활)전복,완도,16/17미,kg,23.4,1,"30,000","29,000","29,500",2019.01.03
35,(활)전복,완도,8미,kg,1.0,1,"47,000","47,000","47,000",2019.01.03
36,(활)전복,완도,5/6미,kg,36.3,1,"55,000","53,000","53,200",2019.01.03
37,(활)전복,완도,12/13미,kg,167.8,1,"31,000","28,000","29,200",2019.01.03
38,(활)전복,완도,15/16미,kg,83.0,1,"30,000","28,000","28,400",2019.01.03
39,(활)전복,완도,20미,kg,108.8,1,"28,000","27,000","27,900",2019.01.03
40,(활)전복,완도,22미,kg,44.0,1,"28,000","28,000","28,000",2019.01.03
41,(활)전복,완도,19/20미,kg,33.0,1,"28,000","28,000","28,000",2019.01.03
42,(활)전복,완도,50미,kg,259.6,1,"10,000","5,000","7,700",2019.01.03
43,(활)전복,완도,7/8미,kg,82.0,1,"42,000","40,000","41,000",2019.01.03
44,(활)전복,완도,13미,kg,11.4,1,"30,000","30,000","30,000",2019.01.03
45,(활)전복,완도,18미,kg,202.0,1,"29,000","28,000","28,600",2019.01.03
46,(활)전복,완도,10미,kg,23.2,1,"32,000","30,000","31,000",2019.01.03
47,(활)전복,완도,10/11미,kg,117.0,1,"32,000","30,000","30,900",2019.01.03
48,(냉)전복,완도,중,kg,50.0,1,"10,000","10,000","10,000",2019.01.03
49,(활)전복,완도,11/12미,kg,104.5,1,"32,000","30,000","30,900",2019.01.04
50,(활)전복,완도,8/9미,kg,112.7,1,"36,000","33,000","34,300",2019.01.04
51,(활)전복,완도,12미,kg,60.6,1,"30,000","29,000","29,800",2019.01.04
52,(활)전복,완도,중,kg,330.6,1,"46,000","13,000","22,600",2019.01.04
53,(활)전복,완도,25미,kg,35.5,1,"28,000","28,000","28,000",2019.01.04
54,(활)전복,완도,14미,kg,103.3,1,"29,000","28,000","28,500",2019.01.04
55,(활)전복,완도,6/7미,kg,24.0,1,"50,000","50,000","50,000",2019.01.04
56,(활)전복,완도,17/18미,kg,232.2,1,"28,000","27,000","27,400",2019.01.04
57,(활)전복,완도,11미,kg,12.5,1,"29,000","29,000","29,000",2019.01.04
58,(활)전복,완도,14/15미,kg,207.8,1,"28,000","26,000","27,300",2019.01.04
59,(활)전복,완도,9/10미,kg,118.3,1,"33,000","32,000","32,400",2019.01.04
60,(활)전복,완도,40미,kg,45.0,1,"18,000","18,000","18,000",2019.01.04
61,(활)전복,완도,22/23미,kg,9.8,1,"27,000","27,000","27,000",2019.01.04
62,(활)전복,완도,13/14미,kg,239.4,1,"28,000","26,000","26,700",2019.01.04
